Identifikationsnr	Typ av objekt	Objekt	Alternativt nummer-Institutionsintern katalog/lista	Titel	Motiv-beskrivning	Avbildade - orter	Namn-Fotograf	Motiv-klassifikation-SAB	Motiv-ämnesord	Referens-Arkivreferenser	Rättigheter
TEKA0115528	Foto	Skioptikonbild med motiv av Dürerhaus (teater?), vid torg i Nürnberg. Bilden har förvarats i kartong märkt: Resan 1907. Nürnberg 11. 26. Text på bild: Dürerhaus"."	SKC2264	Albrecht-Dürer-Haus i Nürnberg	Skioptikonbild med motiv av Dürerhaus (teater?), vid torg i Nürnberg.  Bilden har förvarats i kartong märkt: Resan 1907. Nürnberg 11. 26. Text på bild: Dürerhaus"."	Nürnberg (Tyskland (DE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	dürerhaus, skioptikonbild, stadsbild, teater, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116497	Foto	Skioptikonbild med motiv från Stuttgart. Bilden har förvarats i kartong märkt: Resan 1908. Stuttgart 1.	SKC1911	Gatumotiv från Stuttgart	Skioptikonbild med motiv från Stuttgart.  Bilden har förvarats i kartong märkt: Resan 1908. Stuttgart 1.	Stuttgart (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	handelsgata, häst, kärra, stadsbild, vagn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116499	Foto	Skioptikonbild med motiv av äldre hus i Stuttgart. Bilden har förvarats i kartong märkt: Resan 1908. Stuttgart 1.	SKC1913	Äldre hus i Stuttgart	Skioptikonbild med motiv av äldre hus i Stuttgart.  Bilden har förvarats i kartong märkt: Resan 1908. Stuttgart 1.	Stuttgart (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	exteriör, hus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116510	Foto	Skioptikonbild med motiv från Auray. Bilden har förvarats i kartong märkt: Resan 1908. XVII . Auray 5. Cornac 2.	SKC1924	Motiv från Auray	Skioptikonbild med motiv från Auray.  Bilden har förvarats i kartong märkt: Resan 1908. XVII . Auray 5. Cornac 2.	Auray, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116513	Foto	Skioptikonbild med motiv från Auray. Längs gatan skymtar kyrkan Notre Dame de Lourdes. Bilden har förvarats i kartong märkt: Resan 1908. XVII . Auray 5. Cornac 2.	SKC1927	Auray, kyrkan Notre Dame de Lourdes	Skioptikonbild med motiv från Auray. Längs gatan skymtar kyrkan Notre Dame de Lourdes.  Bilden har förvarats i kartong märkt: Resan 1908. XVII . Auray 5. Cornac 2.	Auray, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	dame, de, kyrka, lourdes, notre, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116514	Foto	Skioptikonbild med motiv från Auray. Vid Pont Neuf bron? Bilden har förvarats i kartong märkt: Resan 1908. XVII . Auray 5. Cornac 2. Text på bild: (Loch)"."	SKC1928	Pont de Saint-Goustan, Auray	Skioptikonbild med motiv från Auray. Vid Pont Neuf bron?  Bilden har förvarats i kartong märkt: Resan 1908. XVII . Auray 5. Cornac 2. Text på bild: (Loch)"."	Auray, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	bron, neuf, pont, stadsbild, valvbro	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116522	Foto	Skioptikonbild med motiv från Dinan. Bilden har förvarats i kartong märkt: Resan1908 XIV. St. Michel 7. Dinan 1.	SKC1936	Motiv från Dinan, Frankrike	Skioptikonbild med motiv från Dinan.  Bilden har förvarats i kartong märkt: Resan1908 XIV. St. Michel 7. Dinan 1.	Dinan, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	gata, gränd, häst, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116526	Foto	Skioptikonbild med motiv från Frankenthal? Port in till staden. Bilden har förvarats i kartong märkt: Resan 1908. Heidelberg 5. Frankenthal 2.	SKC1940	Stadsporten till Frankenthal	Skioptikonbild med motiv från Frankenthal? Port in till staden.  Bilden har förvarats i kartong märkt: Resan 1908. Heidelberg 5. Frankenthal 2.	Frankenthal, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild, stadsport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116528	Foto	Skioptikonbild med motiv av marknad framför rådhuset i Heilbronn. Bilden har förvarats i kartong märkt: Resan 1908. Heilbronn 4. Wimpfen 5. Text på bild: Marplats"."	SKC1942	Marknad framför rådhuset i Heilbronn	Skioptikonbild med motiv av marknad framför rådhuset i Heilbronn.  Bilden har förvarats i kartong märkt: Resan 1908. Heilbronn 4. Wimpfen 5. Text på bild: Marplats"."	Heilbronn, DE,   (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	marknad, marknadsstånd, rådhus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116530	Foto	Skioptikonbild med motiv av marknad framför rådhuset i Heilbronn. Bilden har förvarats i kartong märkt: Resan 1908. Heilbronn 4. Wimpfen 5.	SKC1944	Marknadsstånd framför rådhuset i Heilbronn	Skioptikonbild med motiv av marknad framför rådhuset i Heilbronn.  Bilden har förvarats i kartong märkt: Resan 1908. Heilbronn 4. Wimpfen 5.	Heilbronn, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	marknad, marknadsstånd, rådhus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116541	Foto	Skioptikonbild med motiv sett från järnvägen i Alpirsbach. Bilden har förvarats i kartong märkt: Resan 1908. Schwartzwald 3. Alpirsbach 4.	SKC1955	Motiv vid järnvägen i Alpirsbach	Skioptikonbild med motiv sett från järnvägen i Alpirsbach.  Bilden har förvarats i kartong märkt: Resan 1908. Schwartzwald 3. Alpirsbach 4.	Alpirsbach (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	järnväg, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116542	Foto	Skioptikonbild med motiv av Tübingen vid floden Neckar. Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 3. Horb.	SKC1956	Tübingen vid floden Neckar	Skioptikonbild med motiv av Tübingen vid floden Neckar.  Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 3. Horb.	Tübingen, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	flod, neckar, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116544	Foto	Skioptikonbild med motiv av rådhuset i Tübingen. Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 3. Horb.. Text på bild:  Rådhuset i Tübingen"."	SKC1958	Rådhuset i Tübingen	Skioptikonbild med motiv av rådhuset i Tübingen.  Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 3. Horb.. Text på bild:  Rådhuset i Tübingen"."	Tübingen, DE,   (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	rådhus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116545	Foto	Skioptikonbild med motiv av husbygge vid Horb am Neckar. Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 3. Horb.	SKC1959	Husbygge vid Horb am Neckar	Skioptikonbild med motiv av husbygge vid Horb am Neckar.  Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 3. Horb.	Horb am Neckar, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	am, byggarbetsplats, horb, husbygge, neckar, sradsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116548	Foto	Skioptikonbild med motiv av floden Neckar som flyter genom Horb am Neckar. Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 3. Horb.	SKC1962	Neckar flyter genom Horb am Neckar	Skioptikonbild med motiv av floden Neckar som flyter genom Horb am Neckar.  Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 3. Horb.	Horb am Neckar, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	am, flod, horb, neckar, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116559	Foto	Skioptikonbild med motiv av katedralen i Saint-Lô. Bilden har förvarats i kartong märkt: Resan 1908 XVI. Saint-Lo 1. St. Anne- d’Auray 4.  . Text på bild:  Saint -Lo. L'Église Notre Dame"."	SKC1973	Katedralen i Saint-Lô	Skioptikonbild med motiv av katedralen i Saint-Lô.  Bilden har förvarats i kartong märkt: Resan 1908 XVI. Saint-Lo 1. St. Anne- d’Auray 4.  . Text på bild:  Saint -Lo. L'Église Notre Dame"."	St. Lo, FR (Frankrike)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	dame, katedral, kyrka, l'église, notre	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116561	Foto	Skioptikonbild med motiv från Saint-Lô. (Staden bombades sönder 1944). Bilden har förvarats i kartong märkt: Resan 1908 XVI. Saint-Lo 1. St. Anne- d’Auray 4.	SKC1975	Motiv från Saint-Lô	Skioptikonbild med motiv från Saint-Lô. (Staden bombades sönder 1944).  Bilden har förvarats i kartong märkt: Resan 1908 XVI. Saint-Lo 1. St. Anne- d’Auray 4.	St. Lo, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	stadsbild, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116563	Foto	Skioptikonbild med motiv av katedralen Sanctuaire Sainte Anne d'Auray. Bilden har förvarats i kartong märkt: Resan 1908 XVI. Saint-Lo 1. St. Anne- dâ€™Auray 4.	SKC1977	Katedralen Sanctuaire Sainte Anne d'Auray	Skioptikonbild med motiv av katedralen Sanctuaire Sainte Anne d'Auray.  Bilden har förvarats i kartong märkt: Resan 1908 XVI. Saint-Lo 1. St. Anne- dâ€™Auray 4.	St. Anne d' Auray, FR (Frankrike)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	anne, d'auray, katedral, kyrka, sainte, sanctuaire	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116566	Foto	Skioptikonbild med motiv från Caen. (Staden förstördes delvis i kriget 1944). Bilden har förvarats i kartong märkt: Resan 1908 IX. Lisieux 2. Caen 6.. Text på bild: Caen. Egl. Du Sépulere"."	SKC1980	Motiv från Caen	Skioptikonbild med motiv från Caen. (Staden förstördes delvis i kriget 1944).  Bilden har förvarats i kartong märkt: Resan 1908 IX. Lisieux 2. Caen 6.. Text på bild: Caen. Egl. Du Sépulere"."	Caen, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116570	Foto	Skioptikonbild med motiv från Caen med katedralen St. Pierre i bakgrunden. (Staden förstördes delvis i kriget 1944). Bilden har förvarats i kartong märkt: Resan 1908 IX. Lisieux 2. Caen 6.. Text på b	SKC1984	Motiv från Caen med katedralen St. Pierre i bakgrunden	Skioptikonbild med motiv från Caen med katedralen St. Pierre i bakgrunden. (Staden förstördes delvis i kriget 1944).  Bilden har förvarats i kartong märkt: Resan 1908 IX. Lisieux 2. Caen 6.. Text på bild: Caen. Egl. St. Pierre"."	Caen, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	katedral, kyrka, pierre, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116577	Foto	Skioptikonbild med motiv av katedralen St. Sernin, Toulouse. Bilden har förvarats i kartong märkt: Höstresan 1907. Toulouse 4. No 16. XII. Text på bild: Toulose. St. Sernin"."	SKC1991	Katedralen St. Sernin, Toulouse	Skioptikonbild med motiv av katedralen St. Sernin, Toulouse.  Bilden har förvarats i kartong märkt: Höstresan 1907. Toulouse 4. No 16. XII. Text på bild: Toulose. St. Sernin"."	Toulouse, FR (Frankrike)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	katedral, kyrka, sernin	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116582	Foto	Skioptikonbild med motiv av järnvägsräls vid floden Main i Frankfurt. Bilden har förvarats i kartong märkt: Höstresan 1907. Berlin 5. Frankfurt 2. No 4.	SKC1996	Main i Frankfurt, järnvägsräls längs floden	Skioptikonbild med motiv av järnvägsräls vid floden Main i Frankfurt.  Bilden har förvarats i kartong märkt: Höstresan 1907. Berlin 5. Frankfurt 2. No 4.	Frankfurt, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	flod, järnvägsräls, main, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116585	Foto	Skioptikonbild med motiv från Berlin. Anhalter Platz. Bilden har förvarats i kartong märkt: Höstresan 1907. Berlin 5. Frankfurt 2. No 4. Text på bild: Anhalter plats"."	SKC1999	Anhalter Platz, Berlin	Skioptikonbild med motiv från Berlin. Anhalter Platz.  Bilden har förvarats i kartong märkt: Höstresan 1907. Berlin 5. Frankfurt 2. No 4. Text på bild: Anhalter plats"."	Berlin (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	anhalter, platz, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116588	Foto	Skioptikonbild med motiv av Porte Cailhau, Bordeaux. Bilden har förvarats i kartong märkt: Höstresan 1907. Pau 2. Bordeaux 5. No 21.	SKC2002	Porte Cailhau, Bordeaux	Skioptikonbild med motiv av Porte Cailhau, Bordeaux.  Bilden har förvarats i kartong märkt: Höstresan 1907. Pau 2. Bordeaux 5. No 21.	Bordeaux, FR,   (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	cailhau, porte, stadsport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116611	Foto	Skioptikonbild med motiv från Augsburg. Bilden har förvarats i kartong märkt: Augsburg 1901. 13	SKC2135	Motiv från Augsburg	Skioptikonbild med motiv från Augsburg.  Bilden har förvarats i kartong märkt: Augsburg 1901. 13	Augsburg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116612	Foto	Skioptikonbild med motiv från Augsburg. Bilden har förvarats i kartong märkt: Augsburg 1901. 13.	SKC2136	Motiv med torn från Augsburg	Skioptikonbild med motiv från Augsburg.  Bilden har förvarats i kartong märkt: Augsburg 1901. 13.	Augsburg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116624	Foto	Skioptikonbild med motiv från Rothenburg. Bilden har förvarats i kartong märkt: Rothenburg I. 1901. Text på bild: Markus Ta..""	SKC2149	Marktsturm, Rothenburg	Skioptikonbild med motiv från Rothenburg.  Bilden har förvarats i kartong märkt: Rothenburg I. 1901. Text på bild: Markus Ta..""	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116630	Foto	Skioptikonbild med motiv av passage, port i stadsmuren, Rothenburg. Bilden har förvarats i kartong märkt: Rothenburg I. 1901.	SKC2155	Port i Rothenburgs stadsmur	Skioptikonbild med motiv av passage, port i stadsmuren, Rothenburg.  Bilden har förvarats i kartong märkt: Rothenburg I. 1901.	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	passage, stadsbild, stadsmur, valvport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116643	Foto	Skioptikonbild med motiv av Boleslaw Bierut Platz med Maxim Gorki Theater, Magdeburg. Bilden har förvarats i kartong märkt: Resan 1902. 11.Quedlingburg 3. Magdeburg 5.	SKC2168	Boleslaw Bierut Platz med Maxim Gorki Theater	Skioptikonbild med motiv av Boleslaw Bierut Platz med Maxim Gorki Theater, Magdeburg.  Bilden har förvarats i kartong märkt: Resan 1902. 11.Quedlingburg 3. Magdeburg 5.	Magdeburg, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	bierut, boleslaw, gorki, maxim, platz, stadsbild, theater, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116644	Foto	Skioptikonbild med motiv av ryttarstatyn Magdeburger Reiter, Magdeburg. Bilden har förvarats i kartong märkt: Resan 1902. 11.Quedlingburg 3. Magdeburg 5.. Text på bild: Kaiser Otto der Strasse"."	SKC2169	Ryttarstatyn Magdeburger Reiter	Skioptikonbild med motiv av ryttarstatyn Magdeburger Reiter, Magdeburg.  Bilden har förvarats i kartong märkt: Resan 1902. 11.Quedlingburg 3. Magdeburg 5.. Text på bild: Kaiser Otto der Strasse"."	Magdeburg, DE,   (Tyskland)	Curman, Sigurd	Skulptur<Id>	magdeburger, reiter, ryttarstaty, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116646	Foto	Skioptikonbild med motiv från Quedlinburg. I bakgrunden syns katedralen St. Servatius, 1902. Bilden har förvarats i kartong märkt: Resan 1902. 11.Quedlingburg 3. Magdeburg 5.	SKC2171	Slottet i Quedlinburg	Skioptikonbild med motiv från Quedlinburg. I bakgrunden syns katedralen St. Servatius, 1902.  Bilden har förvarats i kartong märkt: Resan 1902. 11.Quedlingburg 3. Magdeburg 5.	Quedlingburg, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	katedral, kyrka, servatius, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116648	Foto	Skioptikonbild med motiv från Quedlinburg, på höjden syns Schloss Quedlinburg. Bilden har förvarats i kartong märkt: Resan 1902. 11.Quedlingburg 3. Magdeburg 5. Text på bild: Slottet"."	SKC2173	Slottet i Quedlinburg	Skioptikonbild med motiv från Quedlinburg, på höjden syns Schloss Quedlinburg.  Bilden har förvarats i kartong märkt: Resan 1902. 11.Quedlingburg 3. Magdeburg 5. Text på bild: Slottet"."	Quedlingburg, DE,   (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	quedlinburg, schloss, slott, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116654	Foto	Skioptikonbild med motiv av pojkar med cykel samt man med häst och kärra på gata i Lübeck. Bilden har förvarats i kartong märkt: Lybeck 1903	SKC2179	S:t Petri från Holstenstrasse, Lübeck	Skioptikonbild med motiv av pojkar med cykel samt man med häst och kärra på gata i Lübeck.  Bilden har förvarats i kartong märkt: Lybeck 1903	Lübeck, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	barn, cykel, häst, kärra, man, pojke, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116662	Foto	Skioptikonbild med motiv från Bad Wimpfen. Bilden har förvarats i kartong märkt: Resan 1907. Wimpfen 10.Text på bild: Wimpfen am Berg"."	SKC2187	Marktgässchen i Bad Wimpfen	Skioptikonbild med motiv från Bad Wimpfen.  Bilden har förvarats i kartong märkt: Resan 1907. Wimpfen 10.Text på bild: Wimpfen am Berg"."	Wimpfen, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116665	Foto	Skioptikonbild med motiv från Bad Wimpfen. Bilden har förvarats i kartong märkt: Resan 1907. Wimpfen 10. Text på bild: Wimpfen am Berg"."	SKC2190	Motiv från Bad Wimpfen	Skioptikonbild med motiv från Bad Wimpfen.  Bilden har förvarats i kartong märkt: Resan 1907. Wimpfen 10. Text på bild: Wimpfen am Berg"."	Wimpfen, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116667	Foto	Skioptikonbild med motiv från Bad Wimpfen. Bilden har förvarats i kartong märkt: Resan 1907. Wimpfen 10. Text på bild: Wimpfen am Berg. Adlersbrunnen 1576"."	SKC2192	Hauptstrasse vid Salzgasse i Bad Wimpfen	Skioptikonbild med motiv från Bad Wimpfen.  Bilden har förvarats i kartong märkt: Resan 1907. Wimpfen 10. Text på bild: Wimpfen am Berg. Adlersbrunnen 1576"."	Wimpfen, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	barn, flicka, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116668	Foto	Skioptikonbild med motiv från Bad Wimpfen. Bilden har förvarats i kartong märkt: Resan 1907. Wimpfen 10. Text på bild: Wimpfen am Berg. Marktplaz zum Lövenbrunnen"."	SKC2193	Markt i Bad Wimpfen	Skioptikonbild med motiv från Bad Wimpfen.  Bilden har förvarats i kartong märkt: Resan 1907. Wimpfen 10. Text på bild: Wimpfen am Berg. Marktplaz zum Lövenbrunnen"."	Wimpfen, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
